WD_ContractTypeId,SAP_ContractType,SAP_OvertimeIndicator
EMPLOYEE_CONTRACT_TYPE_CASUAL_AGREEMENT_NO_SCHEDULE,NC,N
EMPLOYEE_CONTRACT_TYPE_COLLECTIVE_STE_AGREEMENT_BRANCH,N^,Y
EMPLOYEE_CONTRACT_TYPE_COLLECTIVE_STE_AGREEMENT_NO_SCHEDULE,NU,Y
EMPLOYEE_CONTRACT_TYPE_COLLECTIVE_STE_AGREEMENT_SCHEDULE_A,"N""",Y
EMPLOYEE_CONTRACT_TYPE_FIXED_TERM_AGREEMENT_NO_SCHEDULE,N5,Y
EMPLOYEE_CONTRACT_TYPE_INDIVIDUAL_PACKAGED_AGREEMENT_NO_SCHEDULE,NM,N
EMPLOYEE_CONTRACT_TYPE_INDIVIDUAL_PACKAGED_AGREEMENT_SCHEDULE_P1,N@,Y
EMPLOYEE_CONTRACT_TYPE_INDIVIDUAL_PACKAGED_AGREEMENT_SCHEDULE_P2,NM,N
EMPLOYEE_CONTRACT_TYPE_INDIVIDUAL_STE_AGREEMENT_BRANCH,N:,Y
EMPLOYEE_CONTRACT_TYPE_INDIVIDUAL_STE_AGREEMENT_NO_SCHEDULE,N&,Y
EMPLOYEE_CONTRACT_TYPE_INDIVIDUAL_STE_AGREEMENT_SCHEDULE_A,N),Y
