WD_LeaveCode,SAP_LeaveCode
NZL_ACC__NON-WORK_RELATED_-_1ST_WEEK_-_UNPAID,9703
NZL_ACC__NON-WORK_RELATED_-_2ND_WEEK_+_-_UNPAID,9707
NZL_ACC__NON-WORK_RELATED_-_2ND_WEEK_+_@_100,9705
NZL_ACC_WORK-RELATED_-_1ST_WEEK,9700
NZL_ACC_WORK-RELATED_-_2ND_WEEK_+,9702
NZL_BNZ_ALTERNATIVE_DAY,9652
NZL_ANNUAL_LEAVE,9100
NZL_BEREAVEMENT_LEAVE,9630
NZL_DISCRETIONARY_LEAVE_-_PL_DIRECTED,9999
NZL_EXTENDED_LEAVE_WITHOUT_PAY,9511
NZL_FAMILY_LEAVE,9302
NZL_UNPAID_FAMILY_LEAVE,9303
NZL_FIRST_AID_COURSE_LEAVE,9403
NZL_GARDEN_LEAVE,9560
NZL_JURY_LEAVE,9530
NZL_SHORT_TERM_LEAVE_WITHOUT_PAY,9510
NZL_LONG_SERVICE_LEAVE,9900
NZL_UNPAID_MILITARY_LEAVE_,9532
NZL_PANDEMIC_LEAVE,9206
NZL_PARENTAL_LEAVE,9300
NZL_SICK_LEAVE,9200
NZL_UNPAID_SICK_LEAVE,9201
NZL_TIME_OFF_IN_LIEU,9650
NZL_UNION_LEAVE_-_PAID,9801
NZL_VOLUNTEER_LEAVE,9515
